clueFinal,Acc,row_id,Level,wordpair_id,target1,target2,words_in_patch_num_unique,patchsize,words_in_patch_glove,words_in_patch_swow,Similar Words (glove),Similar Words Size (glove),Dissimilar Words (glove),Dissimilar Words Size (glove),Overlap Similarity (glove),Similar Words (swow),Similar Words Size (swow),Dissimilar Words (swow),Dissimilar Words Size (swow),Overlap Similarity (swow)
round,1,282,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
ice cream,0,310,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
round,0,334,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
spherical,0,364,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
round,1,393,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
round,0,419,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
circular,0,445,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
round,0,468,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
circular,0,492,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
reflection,0,522,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
warm,0,552,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
soup,0,582,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
round,0,610,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
ball,0,629,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
circular,0,657,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
